step,examples,loss,train_seconds,elapsed_seconds,sample_index_hash
1,4,0.0647592768073082,0.11527245806064457,0.11527891701553017,8686bf71b8bebcdc470efc4b0e7c13533a83395739c09a5dfb85f7ea405e9c10
2,8,0.07756216078996658,0.21201383310835809,0.21204212494194508,37a9cda764880054a247f23eb442a204fcd43aefdafddbc9982bdcde123d3e8f
3,12,0.06468673050403595,0.31004670809488744,0.31008812494110316,3eee591a25c4366dd5b5d895cfda242c221b645d08e5f51edcb371ebd795e1fd
4,16,0.06490899622440338,0.40819149918388575,0.40824529191013426,6ca243f628481ed14c83ccc09ac6d661ed429960f35b6e9ef090023522b133ce
5,20,0.06482678651809692,0.5080217912327498,0.5080903329653665,5fd3a2fd52bb28455c2ae84bd5ba8da0497d80cfbc77737b62b4291767fd2fb4
6,24,0.06108254939317703,0.6165229572216049,0.6166071669431403,faafb296bbbe61c7791a5f4060e36c1a962c0e4536ed2c9507526dbc474d14ca
7,28,0.06351194530725479,0.7150646653026342,0.7151625829283148,beda1fc8d56fc71ec829e934ba2c8fab5f12a90607244a719cfa3b72a7ff02c7
8,32,0.06143905222415924,0.8136170823127031,0.8137339579407126,2d406a003b5b6c9fa857d91900f5c5d51d68c510d17b1bf2f16867eda6d0455a
9,36,0.05696937441825867,0.9114479152485728,0.9115768329938874,2d848e0a6bab78070e83fca86dcd46f40b1edab58e8e14f3abced4e2a3911186
10,40,0.06432215869426727,1.0097791652660817,1.0099196250084788,c1afac285988d214c72517e6532129a91c60e2bea1cd15b434fcbf9720278508
11,44,0.06266339868307114,1.1147443312220275,1.114897041930817,e8d245ea552588c2ee797d0f24c087903730f25171fcd726e713664cd48fea94
12,48,0.06318496912717819,1.2131630392977968,1.2133269580081105,9d401560a395f8223e0d79e638e754780ec224ab638832029ac841771c386e5b
13,52,0.0774046927690506,1.3136656222632155,1.3138405829668045,99e5baf59c95d7e7034dc59f1e8d0ac7c2335c48124dc200efe9ac3495288c49
14,56,0.06592763215303421,1.4144288311945274,1.4146138329524547,d244fe0fa61137340ae903cfec228c32d92f458a22ca43da42d49e70483842a5
15,60,0.06457502394914627,1.5148690391797572,1.5150657499907538,e55ef865ec02c568fb76ae7e7ea7d90890ef8700062bdcddfc8f6e61cd9c167a
16,64,0.06321514397859573,1.6205029971897602,1.620708707952872,5ad8916430f8c9441694c2d76ca818757a3712741a4f4303a659058c95542435
17,68,0.07533779740333557,1.7199292061850429,1.7201460829237476,0e168be76018ecec6c083d27771177938ccb0156a833c2962d63ac02741191f9
18,72,0.06364673376083374,1.8123519141227007,1.8125811249483377,15bc9221ab002ac4281e3ac2041fc0b24319ba470dd98ca868291a78a4c42f0b
19,76,0.06254792958498001,1.9114798312075436,1.9117223749635741,9d5fb7729072b8158db9009e1a5d7b9e65450c2244243edb9f1b959aa6966204
20,80,0.06775659322738647,2.01037978916429,2.0106339579215273,22c753cd2445ca89eb3b914498e9bc0d422d533fb2ab56386a5a4afff9933d72
21,84,0.07051555067300797,2.1078334561316296,2.1080999579280615,e50982e8db6802c704d7569a3b8f9eb4e3c6c5e72cc496dfb2942c17caf08257
22,88,0.06190875172615051,2.2078423311468214,2.2081209999741986,3b573629e27ba62eca6033dd6500c5b6307c68ff662b9275100a10f1edf602b9
