case_id,subject_id,image_path,mask_path,image_shape,mask_shape,image_dtype,mask_dtype,spacing_x,spacing_y,spacing_3rd_axis,affine_equal,unique_labels,image_min,image_max,image_mean,image_std,nonzero_mask_voxels,error
CINE_SAX_001,001,data\CMR-MULTI\CINE_MULTI\SAX_TR\image\CINE_SAX_001.nii.gz,data\CMR-MULTI\CINE_MULTI\SAX_TR\anno\CINE_SAX_001.nii.gz,149x144x275,149x144x275,float32,int16,1.25,1.2847222089767456,0.32846397161483765,True,"0,1,2,3",0.0,3264.291748046875,509.65338134765625,462.28021240234375,507024,
CINE_SAX_002,002,data\CMR-MULTI\CINE_MULTI\SAX_TR\image\CINE_SAX_002.nii.gz,data\CMR-MULTI\CINE_MULTI\SAX_TR\anno\CINE_SAX_002.nii.gz,149x144x360,149x144x360,float32,int16,1.101090669631958,1.1067707538604736,0.24512535333633423,True,"0,1,2,3",0.0,1515.9154052734375,272.3025207519531,231.91888427734375,914293,
CINE_SAX_003,003,data\CMR-MULTI\CINE_MULTI\SAX_TR\image\CINE_SAX_003.nii.gz,data\CMR-MULTI\CINE_MULTI\SAX_TR\anno\CINE_SAX_003.nii.gz,149x144x330,149x144x330,float32,int16,1.0696308612823486,1.0677082538604736,0.24316109716892242,True,"0,1,2,3",0.0,3011.052001953125,248.27195739746094,249.89764404296875,924679,
CINE_SAX_004,004,data\CMR-MULTI\CINE_MULTI\SAX_TR\image\CINE_SAX_004.nii.gz,data\CMR-MULTI\CINE_MULTI\SAX_TR\anno\CINE_SAX_004.nii.gz,149x144x250,149x144x250,float32,int16,1.289849042892456,1.345486044883728,0.36144644021987915,True,"0,1,2,3",0.6311521530151367,6116.98974609375,513.7894897460938,527.5283813476562,508031,
CINE_SAX_005,005,data\CMR-MULTI\CINE_MULTI\SAX_TR\image\CINE_SAX_005.nii.gz,data\CMR-MULTI\CINE_MULTI\SAX_TR\anno\CINE_SAX_005.nii.gz,149x144x225,149x144x225,float32,int16,1.3548885583877563,1.2988500595092773,0.35714191198349,True,"0,1,2,3",0.42973992228507996,2782.7216796875,474.5401916503906,417.4245910644531,530884,
CINE_SAX_006,006,data\CMR-MULTI\CINE_MULTI\SAX_TR\image\CINE_SAX_006.nii.gz,data\CMR-MULTI\CINE_MULTI\SAX_TR\anno\CINE_SAX_006.nii.gz,149x144x275,149x144x275,float32,int16,1.0853838920593262,1.0579652786254883,0.2919706702232361,True,"0,1,2,3",0.3127097189426422,3195.26806640625,568.0756225585938,464.0433654785156,669792,
CINE_SAX_007,007,data\CMR-MULTI\CINE_MULTI\SAX_TR\image\CINE_SAX_007.nii.gz,data\CMR-MULTI\CINE_MULTI\SAX_TR\anno\CINE_SAX_007.nii.gz,149x144x360,149x144x360,float32,int16,1.1010905504226685,1.1002603769302368,0.24512533843517303,True,"0,1,2,3",0.0,1425.93896484375,196.0618896484375,191.46080017089844,1141670,
CINE_SAX_008,008,data\CMR-MULTI\CINE_MULTI\SAX_TR\image\CINE_SAX_008.nii.gz,data\CMR-MULTI\CINE_MULTI\SAX_TR\anno\CINE_SAX_008.nii.gz,149x144x330,149x144x330,float32,int16,1.1640101671218872,1.0872396230697632,0.2735562324523926,True,"0,1,2,3",0.0,1230.7730712890625,130.9702606201172,117.83345031738281,1265009,
CINE_SAX_009,009,data\CMR-MULTI\CINE_MULTI\SAX_TR\image\CINE_SAX_009.nii.gz,data\CMR-MULTI\CINE_MULTI\SAX_TR\anno\CINE_SAX_009.nii.gz,149x144x290,149x144x290,float32,int16,1.3349637985229492,1.340083360671997,0.36789262294769287,True,"0,1,2,3",1.0,2888.43994140625,444.9206237792969,423.94927978515625,585793,
CINE_SAX_010,010,data\CMR-MULTI\CINE_MULTI\SAX_TR\image\CINE_SAX_010.nii.gz,data\CMR-MULTI\CINE_MULTI\SAX_TR\anno\CINE_SAX_010.nii.gz,149x144x300,149x144x300,float32,int16,1.1514261960983276,1.0872395038604736,0.3010033369064331,True,"0,1,2,3",0.0,1630.072998046875,252.82998657226562,229.72462463378906,1169975,
CINE_SAX_011,011,data\CMR-MULTI\CINE_MULTI\SAX_TR\image\CINE_SAX_011.nii.gz,data\CMR-MULTI\CINE_MULTI\SAX_TR\anno\CINE_SAX_011.nii.gz,149x144x300,149x144x300,float32,int16,1.1252096891403198,1.0509982109069824,0.24080267548561096,True,"0,1,2,3",0.0,2258.3642578125,279.403564453125,232.43247985839844,1066977,
