case_id,N,Z,T,score,temporal_dice,wrap_dice,spatial_dice,derived_z_spacing,confidence,status,score_gap,reason
CINE_SAX_001,275,11,25,2.055575367681174,0.9597117273913156,0.9371301389740225,0.8009782260754795,,high,accepted,inf,all confidence gates passed
CINE_SAX_002,360,12,30,2.1681967300381326,0.9766352501085976,0.9568478187170832,0.741921588896146,,high,accepted,0.2109404826466834,all confidence gates passed
CINE_SAX_003,330,11,30,2.0674279377824316,0.9722018510867485,0.9276097405221233,0.8045855049131889,,high,accepted,0.10947315576513317,all confidence gates passed
CINE_SAX_004,250,10,25,2.141008688688495,0.9628849134412206,0.9370733937040507,0.7218345318979967,,high,accepted,inf,all confidence gates passed
CINE_SAX_005,225,9,25,2.069029018717022,0.9694400116371886,0.9366067752003653,0.8064577797577202,,high,accepted,inf,all confidence gates passed
CINE_SAX_006,275,11,25,2.0136337919638665,0.9691843547038536,0.9138831380047624,0.8386180554486029,,high,accepted,inf,all confidence gates passed
CINE_SAX_007,360,12,30,2.0418740096852828,0.9765092526177007,0.8682915936088181,0.7794360891589368,,high,accepted,0.07888349220037494,all confidence gates passed
CINE_SAX_008,330,11,30,2.028788835736761,0.9812487866215969,0.9312853158123825,0.8649940533188154,,high,accepted,0.0520545057886892,all confidence gates passed
CINE_SAX_009,290,10,29,1.9732632479992385,0.9691067925313628,0.7503171688729695,0.7152675059364566,,low,manual_review,inf,failed gates: wrap_dice
CINE_SAX_010,300,10,30,2.0393184745969775,0.9867065670064374,0.9363800719480505,0.8704747313639479,,high,accepted,0.062159042850409296,all confidence gates passed
CINE_SAX_011,300,10,30,2.074269469767481,0.9821830045746154,0.9543846977280595,0.8444812371098094,,high,accepted,0.10038805067553946,all confidence gates passed
CINE_SAX_012,275,11,25,2.2347928856440813,0.98173133235945,0.941792461784619,0.6704622408594375,,high,accepted,inf,all confidence gates passed
CINE_SAX_013,300,12,25,2.0390930217123033,0.9879124142049596,0.9511753181511815,0.8879071248487972,,high,accepted,0.05915140827367549,all confidence gates passed
CINE_SAX_014,300,12,25,2.124963047551553,0.9817622469754765,0.9380725282435524,0.7766339746429521,,high,accepted,0.15597914111925704,all confidence gates passed
CINE_SAX_015,300,10,30,2.066269245577617,0.9697372960721826,0.9446839054502796,0.8178892520170278,,high,accepted,0.10351344291721998,all confidence gates passed
CINE_SAX_016,270,9,30,2.144093842066185,0.9680688618635792,0.9256006043813058,0.717644486042279,,high,accepted,0.20374900064406987,all confidence gates passed
CINE_SAX_017,330,11,30,2.097013968487543,0.968989663674717,0.9661127464318582,0.8070781052937487,,high,accepted,0.1275664876810807,all confidence gates passed
CINE_SAX_018,275,11,25,2.2064478944831647,0.9693962329050013,0.9175692036183143,0.6499137749451525,,high,accepted,inf,all confidence gates passed
CINE_SAX_019,275,11,25,2.0949937747226226,0.9656829912738034,0.8384820518910779,0.6748542597160622,,high,accepted,inf,all confidence gates passed
CINE_SAX_020,250,10,25,2.099136174145928,0.9716928621975608,0.9469212130490414,0.791170763298235,,high,accepted,inf,all confidence gates passed
CINE_SAX_021,225,9,25,2.0569434213312023,0.9758519532656413,0.9386662402432329,0.8334267254433133,,high,accepted,inf,all confidence gates passed
CINE_SAX_022,275,11,25,2.067887670646732,0.9722146067710771,0.949372783844272,0.825914326739694,,high,accepted,inf,all confidence gates passed
CINE_SAX_023,250,10,25,2.102600844560687,0.9688413118385775,0.9347682239425481,0.7698500030590159,,high,accepted,inf,all confidence gates passed
CINE_SAX_024,275,11,25,2.152525219155216,0.9748236205580187,0.94163407423139,0.7387560961922115,,high,accepted,inf,all confidence gates passed
CINE_SAX_025,250,10,25,2.067759936144599,0.9709719811399591,0.932904778954162,0.8070888050894811,,high,accepted,inf,all confidence gates passed
CINE_SAX_026,250,10,25,2.0203238762844262,0.9673305681463732,0.913456389093002,0.8277936491013221,,high,accepted,inf,all confidence gates passed
CINE_SAX_027,250,10,25,2.076659273649694,0.9725511776433682,0.9229510402494044,0.7913941218864471,,high,accepted,inf,all confidence gates passed
